,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Black Hawk,WL 1-1,0,0.404,0.0,0.606,0,0.0,0.0,0,0.606,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 1-2,0,0.202,0.0,0.606,0,0.0,0.0,0,0.606,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 1-3,0,0.404,0.0,0.0,0,0.0,0.0,0,0.808,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 1-4,0,0.404,0.0,0.606,0,0.0,0.0,0,0.404,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 1-5,0,0.404,0.0,0.202,0,0.0,0.202,0,0.404,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 1-6,0,0.606,0.0,0.404,0,0.0,0.606,0,0.606,0.0,0.0,0.0,0.0,0.0
Black Hawk,WL 2-1,0,0.202,0.0,0.404,0,0.0,0.0,0,0.404,0.0,0.202,0.0,0.0,0.0
Black Hawk,WL 2-2,0,0.0,0.0,0.0,0,0.0,0.404,0,0.606,0.0,0.202,0.202,0.0,0.0
Black Hawk,WL 2-3,0,0.0,0.0,0.606,0,0.0,0.0,0,0.808,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 2-5,0,0.404,0.0,0.606,0,0.0,0.0,0,0.606,0.0,0.202,0.0,0.0,0.0
Black Hawk,WL 2-6,0,0.202,0.0,0.404,0,0.0,0.404,0,0.404,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 3-1,0,0.404,0.0,0.404,0,0.0,0.0,0,0.404,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 3-2,0,0.606,0.0,0.404,0,0.0,0.0,0,0.404,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 3-3,0,0.0,0.0,0.0,0,0.0,0.0,0,0.404,0.404,0.404,0.202,0.0,0.0
Black Hawk,WL 3-4,0,0.404,0.0,0.0,0,0.0,0.0,0,0.808,0.0,0.202,0.0,0.0,0.0
Black Hawk,WL 3-5,0,0.404,0.0,0.404,0,0.0,0.0,0,1.01,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 3-6,0,0.0,0.0,0.202,0,0.0,0.0,0,0.606,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 4-1,0,1.01,0.0,0.0,0,0.0,0.0,0,0.404,0.0,0.606,0.0,0.0,0.0
Black Hawk,WL 4-2,0,0.606,0.0,0.0,0,0.0,0.0,0,0.404,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 4-3,0,0.404,0.0,0.0,0,0.0,0.0,0,0.202,0.0,0.202,0.202,0.0,0.0
Black Hawk,WL 4-4,0,0.606,0.0,0.0,0,0.0,0.0,0,0.808,0.0,0.0,0.0,0.0,0.0
Black Hawk,WL 4-5,0,1.01,0.0,0.0,0,0.0,0.0,0,0.808,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 4-6,0,0.202,0.0,0.0,0,0.0,0.0,0,0.404,0.202,0.202,0.0,0.0,0.0
Black Hawk,WL 5-1,0,0.0,0.0,0.0,0,0.0,0.202,0,0.202,0.0,0.202,0.202,0.0,0.0
Black Hawk,WL 5-2,0,0.202,0.0,0.404,0,0.0,0.0,0,0.606,0.0,0.404,0.0,0.0,0.0
Black Hawk,WL 5-3,0,0.202,0.0,0.404,0,0.0,0.0,0,0.808,0.0,0.0,0.0,0.0,0.0
Black Hawk,WL 5-4,0,0.404,0.0,0.606,0,0.0,0.0,0,0.606,0.0,0.202,0.0,0.0,0.0
Black Hawk,WL 5-5,0,0.404,0.0,0.404,0,0.0,0.606,0,0.404,0.0,0.202,0.0,0.0,0.0
Black Hawk,WL 5-6,0,0.404,0.0,0.404,0,0.0,0.404,0,0.606,0.0,0.0,0.0,0.0,0.0
Boone,Boone 1st Ward,0,0.0,0.0,0.57,0,0.0,0.0,0,0.76,0.0,0.38,0.0,0.0,0.0
Boone,Boone 2nd Ward,0,0.38,0.0,0.57,0,0.0,0.19,0,0.38,0.0,0.38,0.0,0.0,0.0
Boone,Boone 3rd Ward,0,0.0,0.0,0.57,0,0.0,0.38,0,0.57,0.0,0.38,0.0,0.0,0.0
Boone,Boone 4th Ward,0,0.38,0.0,0.57,0,0.0,0.0,0,0.76,0.0,0.57,0.0,0.0,0.0
Boone,Boone 5th Ward,0,0.0,0.0,0.57,0,0.0,0.38,0,0.57,0.0,0.38,0.0,0.0,0.0
Boone,Madrid 1st Ward,0,0.0,0.0,0.19,0,0.0,0.0,0,0.38,0.0,0.19,0.0,0.0,0.0
Boone,Madrid 2nd Ward,0,0.0,0.0,0.19,0,0.0,0.19,0,0.38,0.0,0.0,0.0,0.0,0.0
Boone,Madrid 3rd Ward,0,0.0,0.0,0.19,0,0.0,0.0,0,0.19,0.0,0.19,0.0,0.0,0.0
Boone,Ogden,0,0.38,0.0,0.57,0,0.0,0.0,0,0.38,0.0,0.0,0.0,0.0,0.0
Boone,Rural Precinct 1,0,0.0,0.0,0.38,0,0.0,0.19,0,0.19,0.0,0.19,0.0,0.0,0.0
Boone,Rural Precinct 2,0,0.0,0.0,0.38,0,0.0,0.38,0,0.19,0.19,0.19,0.0,0.0,0.0
Boone,Rural Precinct 3,0,0.19,0.0,0.19,0,0.0,0.0,0,0.0,0.0,0.19,0.0,0.0,0.0
Boone,Rural Precinct 4,0,0.0,0.0,0.38,0,0.0,0.19,0,0.38,0.0,0.38,0.0,0.0,0.0
Boone,Rural Precinct 5,0,0.0,0.0,0.19,0,0.0,0.19,0,0.0,0.0,0.19,0.0,0.0,0.0
Boone,Rural Precinct 6,0,0.19,0.0,0.38,0,0.0,0.19,0,0.19,0.0,0.19,0.0,0.0,0.0
Bremer,CITY OF DENVER/JEFFERSON TWP,0,0.4533,0.0,0.68,0,0.0,0.4533,0,0.0,0.0,0.4533,0.0,0.0,0.0
Bremer,CITY OF FREDERIKA- FREDERIKA & LEROY TWP,0,0.0,0.0,0.2267,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bremer,CITY OF JANESVILLE/JACKSON TWP,0,0.2267,0.0,0.4533,0,0.0,0.2267,0,0.0,0.0,0.2267,0.0,0.0,0.0
Bremer,CITY OF PLAINFIELD/POLK TWP/DOUGLAS TWP,0,0.2267,0.0,0.2267,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2267
Bremer,CITY OF READLYN- MAXFIELD & FRANKLIN TWP,0,0.2267,0.0,0.2267,0,0.0,0.2267,0,0.0,0.0,0.2267,0.0,0.0,0.0
Bremer,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,0,0.4533,0.0,0.4533,0,0.0,0.0,0,0.2267,0.0,0.2267,0.0,0.0,0.0
Bremer,CITY OF TRIPOLI/FREMONT,0,0.4533,0.0,0.2267,0,0.0,0.0,0,0.2267,0.0,0.2267,0.0,0.0,0.0
Bremer,LAFAYETTE TWP/WARREN TWPS,0,0.2267,0.0,0.2267,0,0.0,0.2267,0,0.0,0.0,0.2267,0.0,0.0,0.0
