County,Precinct,Precinct Short Name,County Delegates,Precinct SDE (IDP)
Dallas,WEST DES MOINES 221,WM221,8,3.3142857142857145
Dallas,WEST DES MOINES 222,WM222,5,2.071428571428572
Dallas,WEST DES MOINES 223,WM223,4,1.6571428571428573
Dallas,WEST DES MOINES 224,WM224,1,0.4142857142857143
Dallas,WEST DES MOINES 225,WM225,8,3.3142857142857145
Dallas,WEST DES MOINES 226,WM226,4,1.6571428571428573
Dallas,WEST DES MOINES 321,WM321,5,2.071428571428572
Dallas,WEST DES MOINES 322,WM322,2,0.8285714285714286
Davis,Bloomfield Ward 1,BF1,16,0.48
Davis,Bloomfield Ward 2,BF2,16,0.48
Davis,Bloomfield Ward 3,BF3,12,0.36
Davis,Central,CN,16,0.48
Davis,Northeast,NE,12,0.36
Davis,Northwest,NW,11,0.33
Davis,Southeast,SE,10,0.3
Davis,Southwest,SW,7,0.21
Decatur,BL/FA/Lamoni,BL,36,1.6941176470588235
Decatur,BU/HA/MO/NB/Davis City/Pleasanton,BU,4,0.18823529411764706
Decatur,DE/Decatur City,DE,3,0.1411764705882353
Decatur,GG/HP/WE/Garden Grove/LeRoy,GG,7,0.32941176470588235
Decatur,GR/RL/Grand River,GR,4,0.18823529411764706
Decatur,FR/LC/Van Wert/Weldon,LC,9,0.4235294117647059
Decatur,CE/ED/Leon,LE,22,1.0352941176470587
Delaware,Adams/Hazel Green,ADHG,7,0.525
Delaware,Colony,CL,5,0.375
Delaware,Delhi/Delaware Corp,DH,7,0.525
Delaware,Delaware,DW,6,0.45
Delaware,Honey Creek/Elk,HCEK,9,0.6749999999999999
Delaware,Manchester Ward 1,MC1,12,0.8999999999999999
Delaware,Manchester Ward 2,MC2,14,1.05
Delaware,Manchester Ward 3,MC3,16,1.2
Delaware,Milo/Prairie,MLPR,12,0.8999999999999999
Delaware,Oneida/N Fork/Bremen,ONNFBM,13,0.975
Delaware,Richland/Coffins Grove,RLCG,9,0.6749999999999999
Delaware,South Fork/Union,SFUN,10,0.75
Des Moines,PCT 1T,BU1T,6,2.16
Des Moines,PCT 2,BU2,7,2.52
Des Moines,PCT 3,BU3,5,1.7999999999999998
Des Moines,PCT 4,BU4,5,1.7999999999999998
Des Moines,PCT 5,BU5,5,1.7999999999999998
Des Moines,PCT 6,BU6,3,1.08
Des Moines,PCT 7,BU7,6,2.16
Des Moines,PCT 8,BU8C,8,2.88
Des Moines,PCT 9,BU9,7,2.52
Des Moines,PCT DM,DM,3,1.08
Des Moines,PCT FM,FM,5,1.7999999999999998
Des Moines,PCT HJ,HJ,2,0.72
Des Moines,PCT MY,MY,4,1.44
Des Moines,PCT PW,PW,1,0.36
Des Moines,PCT UNION,UNION,2,0.72
Des Moines,PCT WB,WB,6,2.16
Dickinson,Precinct No. 01,PCT 01,5,0.625
Dickinson,Precinct No. 02,PCT 02,5,0.625
Dickinson,Precinct No. 03,PCT 03,6,0.75
Dickinson,Precinct No. 04,PCT 04,2,0.25
Dickinson,Precinct No. 05,PCT 05,7,0.875
Dickinson,Precinct No. 06,PCT 06,2,0.25
Dickinson,Precinct No. 07,PCT 07,1,0.125
Dickinson,Precinct No. 08,PCT 08,14,1.75
