,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Wayne,Total,0,0.375,0.0,0.525,0,0.0,0.975,0,0.525,0.0,0.6,0.0,0.0,0.0
Webster,Total,0,4.6666,0.0,8.0,0,0.0,1.2501,0,4.2498,0.3334,1.4999,0.0833,0.0,0.0
Winnebago,Total,0,0.6,0.0,2.1,0,0.0,0.75,0,0.9,0.0,1.05,0.45,0.0,0.0
Winneshiek,Total,0,0.64,0.0,4.864,0,0.0,3.968,0,3.328,0.0,2.688,0.512,0.0,0.0
Woodbury,Total,0,12.75,0.0,11.05,0,0.0,2.3375,0,17.425,0.0,7.65,0.6375,0.0,0.2125
Worth,Total,0,0.7333,0.0,0.9333,0,0.0,1.4667,0,0.8666,0.0,0.6001,0.4,0.0,0.0
Wright,Total,0,1.0665,0.1333,2.1333,0,0.0,1.1999,0,1.1999,0.0,0.2666,0.0,0.0,0.0
Out of State Satellite,Total,0,0.7066,0.0337,0.7711,0,0.0,1.0663,0,0.5638,0.0,0.8789,0.0216,0.0,0.0
CD1 Satellite,Total,0,0.6655,0.0,0.4777,0,0.0,0.7424,0,3.6532,0.067,0.3942,0.0,0.0,0.0
CD2 Satellite,Total,0,0.6832,0.0,0.0262,0,0.0,1.2872,0,5.829,0.0,2.3012,0.8243,0.0,0.049
CD3 Satellite,Total,0,2.9806,0.0,0.1858,0,0.0,1.3617,0,12.4478,0.0,1.0929,0.0345,0.0,0.0
CD4 Satellite,Total,0,0.2057,0.0426,0.2129,0,0.0,0.2696,0,3.0142,0.0993,0.0284,0.0993,0.0,0.0284
