,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Lucas,Total,0,0.9456,0.0,0.5091,0,0.0,0.5091,0,0.5817,0.1454,0.2181,0.1454,0.0,0.0
Lyon,Total,0,0.3,0.0,0.3,0,0.0,0.6,0,0.3,0.0,0.5,0.0,0.0,0.0
Madison,Total,0,1.68,0.0,2.88,0,0.0,1.44,0,1.2,0.0,1.8,0.0,0.0,0.0
Mahaska,Total,0,1.12,0.0,2.08,0,0.0,0.64,0,2.08,0.0,1.28,0.8,0.0,0.0
Marion,Total,0,1.98,0.0,7.02,0,0.0,2.7,0,3.24,0.0,1.62,0.36,0.0,0.0
Marshall,Total,0,5.12,0.0,6.72,0,0.0,1.12,0,8.16,0.16,2.4,0.0,0.0,0.32
Mills,Total,0,1.089,0.0,2.3335,0,0.0,0.778,0,1.7113,0.0,0.9336,0.0,0.0,0.0
Mitchell,Total,0,0.9,0.0,1.125,0,0.0,1.8,0,0.375,0.0,0.75,0.15,0.0,0.0
Monona,Total,0,0.75,0.0,1.1,0,0.0,0.45,0,0.65,0.2,0.85,0.0,0.0,0.0
Monroe,Total,0,0.4616,0.0,0.8308,0,0.0,0.5077,0,0.5539,0.0462,0.3231,0.0,0.0,0.0
Montgomery,Total,0,0.72,0.0,1.44,0,0.0,0.48,0,0.88,0.08,0.4,0.0,0.0,0.0
Muscatine,Total,0,3.9999,0.0,5.6668,0,0.0,1.6666,0,8.0001,0.0,3.5003,0.1667,0.0,0.0
O'Brien,Total,0,0.8728,0.0,0.8001,0,0.0,0.7999,0,0.6545,0.2182,0.4364,0.0727,0.0,0.1455
Osceola,Total,0,0.5,0.0,0.9,0,0.0,0.6,0,0.4,0.0,0.6,0.0,0.0,0.0
Out of State Satellite,Total,0,0.7066,0.0337,0.7711,0,0.0,1.0663,0,0.5638,0.0,0.8789,0.0216,0.0,0.0
Page,Total,0,0.88,0.0,1.84,0,0.0,1.12,0,1.68,0.0,0.48,0.0,0.0,0.0
Palo Alto,Total,0,1.4167,0.0,0.9166,0,0.0,0.5834,0,0.9167,0.0,0.5001,0.0,0.0,0.0
Plymouth,Total,0,2.025,0.0,2.475,0,0.0,0.9,0,2.025,0.0,0.9,0.225,0.0,0.0
Pocahontas,Total,0,0.66,0.0,1.02,0,0.0,0.66,0,0.3,0.0,0.24,0.12,0.0,0.0
Polk,Total,0,53.4418,0.0,95.4118,0,0.0,37.4932,0,101.2876,0.2798,78.344,0.2798,0.2798,0.8394
Pottawattamie,Total,0,5.88,0.0,10.56,0,0.0,4.92,0,11.88,0.24,8.04,1.92,0.0,0.0
Poweshiek,Total,0,0.56,0.0,1.82,0,0.0,2.1,0,5.04,0.0,3.92,0.0,0.0,0.56
Ringgold,Total,0,1.0125,0.0,0.75,0,0.0,0.375,0,0.1125,0.0,0.375,0.0,0.0,0.0
Sac,Total,0,0.5333,0.0,1.1335,0,0.0,0.7334,0,0.8001,0.0,0.4,0.0667,0.0,0.0
Scott,Total,0,17.7729,0.0,28.9329,0,0.0,14.053,0,30.1736,0.0,18.5991,0.4133,0.4133,0.0
Shelby,Total,0,0.75,0.0,1.55,0,0.0,1.1,0,0.75,0.0,0.85,0.0,0.0,0.0
Sioux,Total,0,0.6125,0.0,0.7,0,0.0,1.4875,0,0.6125,0.0,1.225,0.4375,0.0,0.0
Story,Total,0,2.49,0.0,13.28,0,0.0,12.865,0,21.58,0.0,17.43,1.66,0.0,0.415
Tama,Total,0,2.1999,0.0,2.7175,0,0.0,0.647,0,2.9764,0.2588,1.1646,0.2588,0.0,0.0
Taylor,Total,0,0.6,0.0,0.9,0,0.0,0.4,0,0.5,0.0,0.4,0.2,0.0,0.0
Union,Total,0,0.75,0.0,1.575,0,0.0,0.75,0,1.95,0.0,0.825,0.15,0.0,0.0
Van Buren,Total,0,0.5,0.0,0.7,0,0.0,0.0,0,0.5,0.0,0.3,0.0,0.0,0.0
