,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,First,Final,First & Final,SDE,Final & SDE,Full,Any
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des Moines,PCT WB,0,22,0,26,0,3,1,0,30,0,18,6,0,5,0,24,0,31,0,0,0,0,31.0,0,25.0,0,0,0,0,0.36,0.0,0.72,0,0.0,0.0,0,0.72,0.0,0.36,0.0,0.0,0.0,False,False,False,True,False,False,True
Dubuque,Dubuque_02,0,77,0,71,0,2,54,0,47,4,63,20,0,1,0,81,0,90,0,0,61,0,0.0,0,76.0,0,0,0,0,0.8,0.0,1.0667,0,0.0,0.5333,0,0.0,0.0,0.8,0.0,0.0,0.0,False,False,False,True,False,False,True
Dubuque,Dubuque_31,0,58,0,62,0,0,35,0,28,1,36,5,0,0,0,63,0,69,0,0,38,0,0.0,0,49.0,0,0,0,0,0.8,0.0,1.0667,0,0.0,0.5333,0,0.0,0.0,0.8,0.0,0.0,0.0,False,False,False,True,False,False,True
Emmet,EL-LN-Dolliver,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Emmet,HL-TM-Wallingford,0,3,0,4,0,0,2,0,3,0,1,0,0,2,0,5,0,8,0,0,0,0,2.0,0,0.0,0,0,0,0,0.1143,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Fayette,BETHEL-WINDSOR TWP,0,6,0,12,0,0,0,0,8,0,9,0,0,0,0,6,0,12,0,0,0,0,8.0,0,9.0,0,0,0,0,0.12,0.0,0.12,0,0.0,0.0,0,0.12,0.0,0.12,0.0,0.0,0.0,False,False,False,True,False,False,True
Fayette,CENTER TWP,0,2,0,3,0,0,1,0,2,0,1,0,0,0,0,2,0,3,0,0,1,0,2.0,0,1.0,0,0,0,0,0.0,0.0,0.12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Fayette,JEFFERSON TWP,0,6,0,12,0,0,2,0,4,0,2,0,0,0,0,7,0,12,0,0,0,0,0.0,0,7.0,0,0,0,0,0.12,0.0,0.12,0,0.0,0.0,0,0.0,0.0,0.12,0.0,0.0,0.0,False,False,False,True,False,False,True
Fayette,SCOTT TWP,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.12,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Fayette,WEST UNION - WARD 3,0,7,0,10,0,0,0,0,7,0,5,2,0,0,0,7,0,10,0,0,0,0,7.0,0,6.0,0,0,0,0,0.12,0.0,0.12,0,0.0,0.0,0,0.12,0.0,0.12,0.0,0.0,0.0,False,False,False,True,False,False,True
Franklin,MARION,0,3,0,6,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,3.0,0,0.0,0,0,0,0,0.0556,0.0,0.1667,0,0.0,0.0,0,0.0556,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,True
