,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,Duplicate
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,SDE
Hancock,Precinct 02,0,0.0,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,True
Hancock,Precinct 03,0,0.1,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Hancock,Precinct 05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,True
Hancock,Precinct 08,0,0.0,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,True
Hancock,Precinct 10,0,0.0,0.0,0.1,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,True
Henry,Mt. Pleasant Ward 4,0,0.0,0.0,0.4667,0,0.0,0.0,0,0.2,0.0,0.0,0.2,0.0,0.0,True
Henry,Northeast Precinct,0,0.0,0.0,0.4667,0,0.0,0.0,0,0.2,0.0,0.0,0.2,0.0,0.0,True
Humboldt,Humboldt-West Vernon,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Humboldt,North Lake-East Vernon,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Humboldt,South Lake-North Norway,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ida,City of Arthur,0,0.0,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ida,Ida Grove Ward 1,0,0.15,0.0,0.15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ida,Ida Grove Ward 2,0,0.15,0.0,0.15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ida,Ida Grove Ward 3,0,0.15,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Jackson,Jackson 06,0,0.1714,0.0,0.1714,0,0.0,0.1714,0,0.1714,0.0,0.0,0.0,0.0,0.0,True
Jackson,Jackson 12,0,0.1714,0.0,0.1714,0,0.0,0.1714,0,0.1714,0.0,0.0,0.0,0.0,0.0,True
Jackson,Jackson 13,0,0.1714,0.0,0.0,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Jackson,Jackson 14,0,0.1714,0.0,0.1714,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Jefferson,Blackhawk-Polk-Packwood,0,0.0,0.0,0.0,0,0.0,0.0,0,0.2182,0.0,0.0,0.0,0.0,0.0,True
Jefferson,Locust Grove-Batavia,0,0.0,0.0,0.0,0,0.0,0.0,0,0.2182,0.0,0.0,0.0,0.0,0.0,True
Johnson,CEDAR TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Johnson,CORALVILLE 01,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,CORALVILLE 03,0,0.405,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,CORALVILLE 04,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,True
Johnson,CORALVILLE 05,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,True
Johnson,FREMONT-LINCOLN (INCLUDES,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,GRAHAM TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Johnson,HARDIN TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Johnson,IOWA CITY 03,0,0.0,0.0,0.0,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 05,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 09,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 10/ELSW,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,True
Johnson,IOWA CITY 12/EAST LUCAS SE,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 17,0,0.0,0.0,0.0,0,0.0,0.81,0,2.025,0.0,2.025,0.0,0.0,0.0,True
Johnson,IOWA CITY 18,0,0.0,0.0,0.0,0,0.0,0.81,0,2.025,0.0,2.025,0.0,0.0,0.0,True
Johnson,IOWA CITY 19,0,0.0,0.0,0.0,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 20,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,JW/MN/SW,0,0.405,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,SCOTT TWP-WEST BRANCH,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,SHARON TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.405,0.0,0.0,0.0,True
Johnson,UNIVERSITY HEIGHTS,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,WASHINGTON TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.405,0.0,0.0,0.0,True
Jones,GF-GREENFIELD,0,0.0,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,True
Jones,MN3-MONTICELLO 3,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,True
Jones,MN4-MONTICELLO 4,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,True
Jones,ROHA-ROME/HALE,0,0.16,0.0,0.32,0,0.0,0.0,0,0.32,0.0,0.0,0.0,0.0,0.0,True
Jones,SGMC-SC GRV/MADISON/CLAY,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,True
Keokuk,East/West Lancaster,0,0.0,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keokuk,Richland,0,0.1143,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keokuk,Sigourney 3rd Ward,0,0.0,0.0,0.1143,0,0.0,0.1143,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keokuk,Sigourney 4th Ward,0,0.0,0.0,0.1143,0,0.0,0.1143,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,CR 1,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,CR 2,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,IV- PC,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,LC,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,PC,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,UN,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Boulder,0,0.4395,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Brown,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.0,0.0,0.0,0.0,True
Linn,Buffalo,0,0.4395,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Cedar Rapids 01,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 02,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 04,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 06,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 07,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 08,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 09,0,0.0,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 13,0,0.0,0.0,0.4395,0,0.0,0.0,0,1.3186,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 15,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 18,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 20,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 28,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 29,0,0.4395,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 30,0,0.8791,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 31,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 32,0,0.4395,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 33,0,0.0,0.0,0.4395,0,0.0,0.0,0,1.3186,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 35,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 36,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 37,0,0.8791,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 39,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 41,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 42,0,0.0,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 43,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,College,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Fairfax City,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Fairfax Township,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.0,0.0,0.0,0.0,0.0,0.0,True
